 h	IS	eS	IT	eT	N
   7.5000000000000000        3579.4193222149183       4.55766247252939391E-002   3456.6989156466561       0.10650649902231862                4
   5.0000000000000000        3606.6465670893722       7.54918575135758718E-003   3542.3321382275794       2.41742499684883434E-002           6
   3.7500000000000000        3614.3589724039498       2.13382383251434563E-003   3574.9438774274104       9.12230801880416914E-003           8
   2.5000000000000000        3618.4422016914386       1.12844949840020794E-003   3599.4146049469896       6.79852981813958233E-003          12
   1.8750000000000000        3619.3710308586265       2.56627231435697044E-004   3608.2641616015781       2.45258003800377785E-003          16
   1.3636363636363635        3619.7367271502103       1.01028422548220693E-004   3613.7072683805072       1.50623898802088648E-003          22
   1.0714285714285714        3619.8351494949325       2.71897312052730507E-005   3616.0666414104462       6.52469454771637154E-004          28
  0.83333333333333337        3619.8760719983502       1.13049459715733506E-005   3617.5772412168308       4.17572232922508977E-004          36
  0.65217391304347827        3619.8914810708097       4.25677745869201895E-006   3618.4761952994972       2.48434433210931334E-004          46
  0.51724137931034486        3619.8972262676284       1.58711600345720143E-006   3619.0041929246263       1.45895831279033562E-004          58
  0.40540540540540543        3619.8996091102222       6.58262065545673176E-007   3619.3498317947597       9.54975026445497590E-005          74
  0.31914893617021278        3619.9005089168486       2.48572198104537671E-007   3619.5593207616098       5.78769259695545858E-005          94
  0.25000000000000000        3619.9008612583425       9.73345700372827702E-008   3619.6912954432519       3.64602036113459299E-005         120
  0.19736842105263158        3619.9009919651339       3.61078360193108842E-008   3619.7702728232880       2.18183404148800582E-005         152
  0.15625000000000000        3619.9010425181764       1.39653106155054785E-008   3619.8190515086721       1.34754485486836243E-005         192
  0.12396694214876033        3619.9010622968326       5.46386652108795207E-009   3619.8494022878899       8.38454196425598110E-006         242
  9.80392156862745084E-002   3619.9010702075875       2.18535113232863003E-009   3619.8687155940311       5.33536093669846204E-006         306
  7.77202072538860089E-002   3619.9010732850875       8.50161345941751417E-010   3619.8806985764959       3.31032524622351694E-006         386
  6.17283950617283916E-002   3619.9010744949996       3.34239015252948452E-010   3619.8881814082574       2.06714444936930749E-006         486
  4.90196078431372542E-002   3619.9010749768668       1.33116101426710831E-010   3619.8929042200903       1.30468275106398061E-006         612
  3.88601036269430045E-002   3619.9010751692590       5.31484787791597203E-011   3619.8959001099465       8.27617682645080392E-007         772
  3.08641975308641958E-002   3619.9010752449572       2.09116635923925421E-011   3619.8977708746806       5.16800432645805395E-007         972
  2.45098039215686271E-002   3619.9010752750728       8.31946583241024855E-012   3619.8989516002071       3.26176377351166850E-007        1224
  1.94552529182879380E-002   3619.9010752870900       3.31974638107275757E-012   3619.8996972934287       2.05998310463082629E-007        1542
  1.54479917610710615E-002   3619.9010752919507       1.34279758825547027E-012   3619.9001666297409       1.29654490594623278E-007        1942
  1.22649223221586272E-002   3619.9010752938984       5.38048654738056362E-013   3619.9004626349974       8.17716563320438194E-008        2446
  9.74025974025974003E-003   3619.9010752943254       1.17961168993456766E-013   3619.9006490576562       5.14993854375160261E-008        3080
  7.73594636410520915E-003   3619.9010752945669       6.67064757566787733E-014   3619.9007665971708       3.24703692601450741E-008        3878
  6.14250614250614214E-003   3619.9010752949689       1.11051835346322946E-013   3619.9008408051000       2.04999894852102554E-008        4884
  4.87804878048780487E-003   3619.9010752944769       1.35925436475947700E-013   3619.9008875650034       1.29174540548403987E-008        6150
  3.87396694214876044E-003   3619.9010752945856       3.00241953029117612E-014   3619.9009170533395       8.14617218627193610E-009        7744
