
 6 Elementos 
 

 
 Elemento 1 
8.4000e+08	-8.4000e+08
-8.4000e+08	8.4000e+08

 
 Elemento 2 
8.4000e+08	-8.4000e+08
-8.4000e+08	8.4000e+08

 
 Elemento 3 
8.4000e+08	-8.4000e+08
-8.4000e+08	8.4000e+08

 
 Elemento 4 
8.4000e+08	-8.4000e+08
-8.4000e+08	8.4000e+08

 
 Elemento 5 
8.4000e+08	-8.4000e+08
-8.4000e+08	8.4000e+08

 
 Elemento 6 
8.4000e+08	-8.4000e+08
-8.4000e+08	8.4000e+08

 Matriz Global 
8.4000e+08	-8.4000e+08	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
-8.4000e+08	1.6800e+09	-8.4000e+08	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
0.0000e+00	-8.4000e+08	1.6800e+09	-8.4000e+08	0.0000e+00	0.0000e+00	0.0000e+00
0.0000e+00	0.0000e+00	-8.4000e+08	1.6800e+09	-8.4000e+08	0.0000e+00	0.0000e+00
0.0000e+00	0.0000e+00	0.0000e+00	-8.4000e+08	1.6800e+09	-8.4000e+08	0.0000e+00
0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	-8.4000e+08	1.6800e+09	-8.4000e+08
0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	-8.4000e+08	8.4000e+08
