msh     escala      sigma_max
chapa-entera-fino  0.025   3240.3126751341115
chapa-entera-fino  0.05    3280.879941246602
chapa-entera-fino  0.1     3375.8824605010095
chapa-entera-fino  0.2     3358.46438675811
chapa-entera-fino  0.5     3022.116134426884
chapa-entera-fino  1       1980.5916443426752
chapa     0.025     3239.9878908356286
chapa     0.05      3280.829132657623
chapa     0.1       3350.23515211444
chapa     0.2       3351.8785793619095
chapa     0.5       3017.97112315709
chapa     1         1979.3714363852846
chapa-entera-fino-points  0.025 3232.616196880438
chapa-entera-fino-points  0.05  3277.834145786768
chapa-entera-fino-points  0.1   3339.100698560314
chapa-entera-fino-points  0.2   3360.0305260892283
chapa-entera-fino-points  0.5   2857.565110774154
chapa-entera-fino-points  1     1813.251620850955
