
 4 Elementos 
 

 
 Elemento 1 
5.6000e+08	-5.6000e+08
-5.6000e+08	5.6000e+08

 
 Elemento 2 
5.6000e+08	-5.6000e+08
-5.6000e+08	5.6000e+08

 
 Elemento 3 
5.6000e+08	-5.6000e+08
-5.6000e+08	5.6000e+08

 
 Elemento 4 
5.6000e+08	-5.6000e+08
-5.6000e+08	5.6000e+08

 Matriz Global 
5.6000e+08	-5.6000e+08	0.0000e+00	0.0000e+00	0.0000e+00
-5.6000e+08	1.1200e+09	-5.6000e+08	0.0000e+00	0.0000e+00
0.0000e+00	-5.6000e+08	1.1200e+09	-5.6000e+08	0.0000e+00
0.0000e+00	0.0000e+00	-5.6000e+08	1.1200e+09	-5.6000e+08
0.0000e+00	0.0000e+00	0.0000e+00	-5.6000e+08	5.6000e+08
