# time (s) ,  q1,   q2  
5.0000e-01  2.0250e+06  2.0250e+06 
1.0000e+00  5.0722e+05  5.0722e+05 
1.5000e+00  4.3370e+05  4.3370e+05 
2.0000e+00  3.8569e+05  3.8569e+05 
2.5000e+00  3.5108e+05  3.5108e+05 
3.0000e+00  3.2461e+05  3.2461e+05 
3.5000e+00  3.0355e+05  3.0355e+05 
4.0000e+00  2.8627e+05  2.8627e+05 
4.5000e+00  2.7177e+05  2.7177e+05 
5.0000e+00  2.5935e+05  2.5935e+05 
5.5000e+00  2.4854e+05  2.4854e+05 
6.0000e+00  2.3900e+05  2.3900e+05 
6.5000e+00  2.3049e+05  2.3049e+05 
7.0000e+00  2.2283e+05  2.2283e+05 
7.5000e+00  2.1588e+05  2.1588e+05 
8.0000e+00  2.0955e+05  2.0955e+05 
8.5000e+00  2.0374e+05  2.0374e+05 
9.0000e+00  1.9839e+05  1.9839e+05 
9.5000e+00  1.9345e+05  1.9345e+05 
1.0000e+01  1.8887e+05  1.8887e+05 
1.0500e+01  1.8461e+05  1.8461e+05 
1.1000e+01  1.8064e+05  1.8064e+05 
1.1500e+01  1.7692e+05  1.7692e+05 
1.2000e+01  1.7344e+05  1.7344e+05 
1.2500e+01  1.7016e+05  1.7016e+05 
1.3000e+01  1.6707e+05  1.6707e+05 
1.3500e+01  1.6415e+05  1.6415e+05 
1.4000e+01  1.6138e+05  1.6138e+05 
1.4500e+01  1.5875e+05  1.5875e+05 
1.5000e+01  1.5625e+05  1.5625e+05 
1.5500e+01  1.5386e+05  1.5386e+05 
1.6000e+01  1.5158e+05  1.5158e+05 
1.6500e+01  1.4939e+05  1.4939e+05 
1.7000e+01  1.4729e+05  1.4729e+05 
1.7500e+01  1.4527e+05  1.4527e+05 
1.8000e+01  1.4332e+05  1.4332e+05 
1.8500e+01  1.4144e+05  1.4144e+05 
1.9000e+01  1.3962e+05  1.3962e+05 
1.9500e+01  1.3786e+05  1.3786e+05 
2.0000e+01  1.3614e+05  1.3614e+05 
2.0500e+01  1.3448e+05  1.3448e+05 
2.1000e+01  1.3286e+05  1.3286e+05 
2.1500e+01  1.3128e+05  1.3128e+05 
2.2000e+01  1.2974e+05  1.2974e+05 
2.2500e+01  1.2823e+05  1.2823e+05 
2.3000e+01  1.2676e+05  1.2676e+05 
2.3500e+01  1.2531e+05  1.2531e+05 
